timestamp_iso,session_id,user_name,gender,age_group,major,app_name,app_experience,trial_number,task_index,task_description,duration_seconds,errors_count,help_count,easy_binary
2025-10-28T20:16:13.240479,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,0,Create a new notebook titled 'Research_Project_2025'.,1,0,0,1
2025-10-28T20:16:17.173415,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,1,Add a section called 'Meeting_Notes.',0,0,0,1
2025-10-28T20:16:21.016953,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,2,Create a page named 'Project_Planning.',0,0,0,1
2025-10-28T20:16:24.932165,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,3,Type a meeting highlight points.,0,0,0,1
2025-10-28T20:16:28.832987,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,4,Apply bold formatting to highlight key points.,0,0,0,1
2025-10-28T20:16:32.346169,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,5,Create a to-do list for tasks assigned to team members and mark one as important.,0,0,0,1
2025-10-28T20:16:36.364885,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,6,Insert a project logo.,0,0,0,1
2025-10-28T20:16:39.682278,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,7,Attach a reference PDF file for background reading.,0,0,0,1
2025-10-28T20:16:43.887839,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,8,Use the search function to find a specific keyword in your notes.,0,0,0,1
2025-10-28T20:16:47.223697,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,9,Move the page ' Project_Planning ' to a new section called 'Research_Findings.',0,0,0,1
2025-10-28T20:16:51.253400,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,10,Share the notebook with a teammate via email.,0,0,0,1
2025-10-28T20:16:54.858315,a5e906ee-19e0-4093-bf59-c64c965c80f9,Soso,Female,20–29,IT,OneNote,None,1,11,Translate a sentence from English to another language (for multilingual collaboration).,0,0,0,1
